Task,Source,Target,Generated,ProbHall
DM,Euelpides : Who <define> brings owls to Athens </define> ?,"(idiomatic) To undertake a pointless venture, one that is redundant, unnecessary, superfluous, or highly uneconomical.",(transitive) To bring (something) to (someone or something).,1.00
DM,"As for K’ang Yu - wei , his first given name was Tsu - i. He was born in 1858 , in the district of <define> Nan - hai </define> , Kwangtung , into an old and aristocratic family which for generations had been noted for its Neo - Confucian scholarship .","(a district of Foshan, Guangdong, China; former county of Guangdong, China).","A district of Kwangtung, Taiwan.",1.00
DM,"A much more numerous biotic element occurs also in other biotopes , whether only in similar adjacent ones or in widely scattered very different habitats , as <define> ubiquitists </define> ( forms with high ecological valence , i.e. , eurytopic forms ) .",An organism that can be found in most types of environment.,(ecology) A species that has a high ecological valence.,0.00
DM,"When the scholastic has finished his education , he embarks on the “ <define> tertiate </define> , "" a period of several months in which the accumulated experience of some ten years in the Order will be proved and tested all over again .",The third year of training in various Christian religious orders (especially the Jesuits).,(Christianity) A period of study in which a person who has completed his or her secondary education is required to undergo further studies in order to be admitted to a religious order.,0.00
DM,"And suddenly there , you ’ll know even then , that you will be badgered , abused , and publicly humiliated by that silly hysterical <define> twathead </define> again and again until you either have to change your phone number or your sex , whichever is less devastating to your social life .","(vulgar, slang) Term of abuse.","(vulgar, pejorative) A stupid or contemptible person.",0.00
DM,"Non - UTUC findings ( mucosa fold , small extraluminal mass and <define> parapelvic </define> hyperdense cyst and bullous mucosal edema ) were found during ureteroscopy in 4/9 cases and normal upper urinary tract was described in 5/9 cases .",Beyond the pelvis,(anatomy) Of or pertaining to the paraplegia.,0.00
DM,"They were ordered to the field , and their places filled by the Georgia "" Reserves , "" an organization of boys under , and men over the military age . As General Grant aptly - phrased it , "" They had <define> robbed the cradle </define> and the grave , "" in forming these regiments .","(idiomatic, disapproving) To use a young person for a purpose inappropriate to his or her age.","(transitive, idiomatic) To deprive of something that is rightfully one's.",1.00
DM,"Well , sometimes <define> mee - maws </define> have things to do , like moms and little girls .","(informal) Alternative form of meemaw, i.e. mamaw (grandmother).",Alternative form of mee-maw,0.00
DM,In time it became as impossible for polyglot and <define> polysectarian </define> America to provide a common religious standard for her public schools as for her Army or her railways .,Composed of many sects.,Of or pertaining to a polyglot.,1.00
DM,"The vessel was filled with a thick , <define> molasseslike </define> fluid .","Resembling molasses in any of various respects, such as consistency, flavor, or color",Resembling or characteristic of molasses.,0.00
DM,"The cigar drawer is an excellent introduction , looked after properly by self or servant , and there is always at hand the drink and the smoke for self or friend , or both , saving the often troublesome and sometimes <define> faintless </define> search for the cigar box that will go astray .",Without faintness or fainting,Without faintness.,0.00
DM,"Diagram of mold for casting a fang ding . The four outer mold pieces surround the model ; above the model is the inner core , and below the model is the <define> interleg </define> core piece .",That acts or occurs between legs.,Betweenlegs.,0.00
DM,"When such events befell him , Dooni would simply disappear for a few days , returning to tell his friends he had been “ on location , filming a movie , ” Los Angeles <define> drag - queenese </define> for doing jail time .",(rare) The jargon used by drag queens.,(informal) The language of a drag queen.,0.00
DM,"Owing to the occurrence and economic importance of <define> molybdosis </define> in cattle , this species has been the primary subject of study of molybdenum metabolism .",molybdenum poisoning,(medicine) The accumulation of molybdenum in the blood.,0.00
DM,"You seem a bit out of it lately , have you been smoking <define> rocks </define> again ?",(slang) Crack cocaine.,(slang) Marijuana.,1.00
DM,"She copied the whole alphabet like that , as though only the inside <define> whites </define> of the letters registered on her mind .","The enclosed part of a letter of the alphabet, especially when handwritten.",(informal) The white part of a letter.,0.00
DM,"A visitor may well be baffled by “ pony keg ” and “ <define> jack salmon </define> , ” but Cincinnatians know that the first is a store where beer may be purchased and the second is deep - fried pike .","(Midwestern US, colloquial) Sander vitreus.",(colloquial) A deep-fried pike.,0.00
DM,"More importantly , it is highly context dependent : ( a ) certain text types ( such as advertising copy ) seem to license bare <define> mediopassives </define> more than others ( see Section 6.4.1 ) , ( b ) contextually implied contrast may enable an inherent property reading of a bare mediopassive ( see Sections 6.4.2.1 and 6.4.2.2 ) , or the verb itself might foster bare mediopassive use ( this seems to be the case with denominal verbs like zip , button , bolt , or clamp , see Goldberg and Ackerman 2001 : 806 ) .",(grammar) A mediopassive construction; a phrase that uses the mediopassive voice.,(linguistics) A word that is not a noun.,0.00
DM,The problem is that the area is grey so far as the authorities are concerned and it is difficult to know where to draw the line between a nutriceutical or <define> pharmafood </define> and a medicinal drug substance .,A food supposed to have health benefits; a nutraceutical.,(uncountable) Medicinal food.,0.00
DM,"While some experts say these girls likely have body image issues or could develop a more serious eating disorder , <define> wannarexics </define> usually range between healthy and overweight .","(pejorative, slang) One who does not have the eating disorder anorexia nervosa, but wishes to.",(informal) A person who wants to be a member of the female subculture of wannarexics.,1.00
DM,""" You will soon be all right , my fine fellow , "" said the London surgeon reassuringly . He was renowned for his sympathetic <define> bedside manner </define> .","The ability of a doctor, medic, nurse, or other healthcare professional, to interact with his or her patients. [from 19th c.]",(idiomatic) The manner in which a person conducts himself or herself at a bedside.,0.00
DM,Its pathological nature is constituted by its perpetuation into an inappropriate movement which the conviction of its <define> mutility </define> can not abolish .,"(rare) deformity, defectivity",(uncountable) The state of being mutilated.,0.00
DM,"It is not supposed that there is now , or that there ever was a man in Madison county who would willfully lie to hurt a fellow - man , or even to enhanced his own interests , but for your spinning yarns and big story telling , she has had some "" <define> hummers </define> . ""","(slang, obsolete) A lie or tall tale.",(slang) A lie.,0.00
DM,"I told him about my plan , and he agreed that the gobblers must be <define> henned up </define> and that moving might be a good idea .",Alternative form of henned-up,"(transitive, colloquial) To prepare (someone or something) for a difficult situation.",1.00
DM,"The <define> ruibe </define> is then cut and eaten while still frozen , and served with soy sauce and fresh wasabi .","An Ainu dish of salmon that is frozen outdoors, sliced like sashimi, and served with soy sauce and water peppers.","(uncountable, cooking) A type of Japanese soup made from soybeans, rice, and other ingredients.",0.00
DM,a <define> whaleboned </define> corset,Reinforced with whalebone.,Having whalebones.,0.00
DM,"He watches the flickering black lights , as they <define> deluminate </define> , the world around him .",To extinguish a light; to darken.,(intransitive) To become illuminated.,1.00
DM,"However , certain objects are excluded from being treated as a gun . These include a longbow , crossbow , slingshot or <define> shanghai </define> even though it is capable of propelling a projectile by means of an explosive force .","(AU, NZ) Synonym of slingshot.",Alternative form of shanghai (“weapon”),1.00
DM,[ … ]   he turned his resourceful mind away from the serene life of a don on grass lawns in Cambridge to one of <define> self - sacrifice </define> and pure devotion in the thorny bushes of Africa .,The giving up of one's own benefit for the good of others.,The act of self-sacrifice.,0.00
DM,"Every thing of that sort appears to be at present no better than it is with us in a country - town : or rather it wants the simplicity and rustic innocence , and is more like the <define> draggled - tailed </define> finery of a lady ’s waiting - maid .","(of a person or other animal, or of clothing) Slatternly, untidy, unkempt.",Alternative form of draggled,0.00
DM,"Revealingly , two of the contenders announced this week for the Art Fund museum of the year prize - the Sackler Centre at the V&A in London and the National Trust Museum of Childhood in Derbyshire - are heavily interactive , while a third <define> shortlistee </define> , the Museum of Reading , boxed up its exhibits and allowed them to be displayed in workplaces and public buildings .",A person or thing that is on a shortlist,One who has been shortlisted.,0.00
DM,"Selection affecting the melanization threshold could likewise reduce patch number , which should occur in the reverse order ( loss of rump patch followed by loss of crown stripe and finally loss of <define> wing bar </define> .",A band of contrasting color or of feathers with a distinct appearance that crosses a bird's wing.,Alternative form of wing bar,1.00
DM,We say nothing of the <define> pulpitish </define> and dogmatic tone which seems never so far to forget itself as to drop down into the easy accents of friend talking with friend .,Of or pertaining to the pulpit; like preaching.,Resembling or characteristic of a pulpit,0.00
DM,""" Do n't I know that it is you who is the <define> life </define> of this house . Two delightful children ! """,The most lively component or participant.,(figuratively) Someone or something that is important or important.,1.00
DM,"The pastry room was a further revelation . Six young girls in white coats and white hats were dusting white flour over small pre - formed pastry lids , which were then glued onto cups of uncooked short crust filled with <define> pink slime </define> .","Used other than figuratively or idiomatically: see pink,‎ slime. Slime which is pink.","(uncountable, cooking) A mixture of flour, sugar, and water used to make short crust pastry.",1.00
DM,Brokerage 1½ per Cent . <define> Shroffage </define> 1 per Thousand .,(historical) The commission paid to a shroff for examining coins for quality.,(obsolete) Shroffage.,1.00
DM,"Suddenly , something Henry said caught my attention . “ Where 'd you get these boxes of <define> puffcorn </define> ? ” he asked . “ This stuff has no taste at all ! ”","A corn snack, visually similar to popcorn, but made with corn meal and baked.","(Australia, New Zealand, informal) Corn pudding.",1.00
PG,"You're not alone, Claire.",,"You're not alone, claire- -",1.00
PG,"Who told you to throw acid at Vargas, hmm?",,"Who told you to throw acid at Vargas, hmmm?",0.00
PG,Where the pure angel merges with the antic Sphinx,,♪ Where the pure angel merges with the antic sphinx,1.00
PG,Where is it written what is it I'm meant to be,,Where is it written what is it I'm meant to be?,0.00
PG,We'll find the skipper and then we'll go home.,,We'll find the skipper and then we'll go home.,0.00
PG,Seymour's Darling is third... and little Arnie moving fast on the outside.,,Seymour's Darling is the third... and little Arnie's moving fast on the out-of-towner.,1.00
PG,"Scud, do you read me?",,"- Scud, do you read me, please?",1.00
PG,Jumby now wants to be born.,,Jumby now wants to be born,0.00
PG,It was a difficult and long delivery.,,It was a long and difficult delivery.,0.00
PG,Is Mabel a slave?,,¿Mabel's a slave?,0.00
PG,I like to be beautiful everyday.,,I like to be beautiful everydays.,1.00
PG,"I got the joy, joy, joy, joy Down in my heart",,"♪ I got the joy, joy, joy, joy Down in my heart ♪",0.00
PG,Homicide investigators have told me that they did find a bottle of pills in his lap.,,Homicide investigators have told me that they found a bottle of pills in his lap.,0.00
PG,"He's an In-Valid, sir.",,"Oh, he's an In-Valid, sir.",0.00
PG,Hello Mr. Barthes.,,Hello Mr. Barthes.,0.00
PG,HARRY Imperio.,,HARRY ⁇ .,1.00
PG,Half that speed.,,"Half that speed, half speed.",1.00
PG,"Frankfurt, Germany.",,"It's Frankfurt, Germany.",0.00
PG,Enemy is matching velocity.,,Enemies are matching speed.,0.00
PG,Call John.,,Call the john.,1.00
PG,Bernadette wants a prenup.,,Bernadette's asking for a prenuptial.,0.00
PG,and yet i see no children emerging from the vehicle.,,And yet I see no children exiting from the vehicle.,0.00
PG,I was not advanced to Ranger.,,I wasn't advanced to ranger.,1.00
PG,It's time to breathe.,,It's time to take a breather.,1.00
PG,I'm not leaving here till I have my thousand dollars.,,I'm not leaving here until I have my thousand dollars.,0.00
PG,Braga.,,B-braga.,1.00
PG,Who's Elise?,,"Who's EIIise, huh?",1.00
PG,Himmler's not at the briefing.,,Himmler's not at the pre-briefing.,1.00
PG,The funds are transferred.,,The funds are transfered.,0.00
PG,Ships don'just magically appear out of nowhere.,,Ships don't just magically appear out of nowhere..,0.00
PG,No one's on their own.,,Nobody's on their own.,0.00
PG,Tyler's not here.,,tyler's not here.,1.00
PG,"Soren, look.",,"Hey, Soren, look.",0.00
PG,"It was a nice run, Kev.",,"It's a nice run-in, Kev.",1.00
PG,How's Chris?,,How's chris?,1.00
PG,"I've always thought that ""bludgeon"" has a spur-of-the-moment sound.",,"You know, I've always thought that ""bludgeon"" has a spur-of-the-moment sound, you know?",1.00
PG,Five children.,,Five Children.,1.00
PG,"Come, Daniel-san.",,"Come on, daniel-san.",1.00
PG,"Ah, Mr. Adams.",,"Ah, Mr. Adams:",1.00
PG,Are you just gonna ignore it?,,You're just gonna ignore it?,0.00
PG,Where's Wallace?,,Wh-Where's Wallace now?,1.00
PG,Where's Larkin?,,Wh-Where's Larkin?,1.00
PG,Don't say you don't remember me.,,"Don't tell me you don't remember me, dude.",0.00
PG,Fraulein Spielrein.,,It's Fraulein Spielrein's.,0.00
PG,"Take the cane, Colonel.",,"Take the cane, Colonel",0.00
PG,"Get up, Sam.",,"Get up, sam..",1.00
PG,"CQ, this is W-9 GFO.",,"CQ, this is W-9-G-F-F.",1.00
PG,"Welcome to Mars, man.",,Welcome to mars.,1.00
PG,She was not ready.,,She wasn't prepared.,0.00
PG,Blood is the life.,,Blood's what life is.,0.00
PG,Maybe you can use one of these.,,Maybe you can use one of these cuffs.,1.00
PG,"Oh, thanks, Paige.",,"Oh, thanks, paige.",1.00
PG,Where are elders?,,Where are the Elders?,1.00
PG,Do you think he loves you?,,Do you think he's fond of?,0.00
PG,Shire.,,- Shire.,0.00
PG,Where's Logan?,,Where's Logan?,0.00
PG,Don CorIeone.,,Don Corleone's.,0.00
PG,I've been all around this world,,I've been wandering all over this world,0.00
PG,"Thank you, Edward.",,"Thank you, edward",1.00
PG,Melhoff.,,Melhoff.,0.00
PG,"Thank you, Hubert.",,"Thank you, Hubert.",0.00
PG,We're all equal,,We're all equals,0.00
PG,Kraken.,,It's the Kraken.,0.00
PG,W-where's Silas?,,W-where's Silas'?,0.00
PG,The window's closed.,,The window's closed- -,0.00
PG,"Thank you, Hector.",,"Thankyou, Hector.",1.00
PG,Didn't recognize me.,,He didn't recognise me at all.,0.00
PG,"Seth, are you all right?",,"Seth, are you okay?",0.00
PG,Hyah! Hmm.,,"Hyah, hyah, hmm, hmm, hmm.",0.00
PG,He does have a son.,,He has sons.,0.00
PG,"Thank you, Norman.",,"Thank you, norman",1.00
PG,"Thank you, Miles.",,"Thanks, Miles.",0.00
PG,21 days.,,Twenty-one-one days..,1.00
PG,He's a Muslim.,,He's a Muslim.,0.00
PG,Book of Shadows.,,The Book of Shadows.,0.00
PG,Kyle Butler.,,It's Kyle Butler.,0.00
PG,I'm an animal.,,I'm a brute.,1.00
PG,Where's the pool?,,Where's the poolside?,0.00
PG,Gimi.,,Gimme..,1.00
PG,"Thank you, Ethan.",,"Thank you, ethani.",1.00
PG,"Thank you, Owen.",,"Thank you, owen.",1.00
PG,We need more water.,,"We need more water, yo.",0.00
PG,I wanna see your eyes.,,I want to see your eyes.,0.00
PG,"Good morning, Sarah.",,"Morning, Sarah.",0.00
PG,"Thank you, Molly.",,"Thank you, molly.",1.00
PG,Who's Mary?,,Who's mary?,1.00
PG,"Good morning, Annie.",,"Morning, annie.",1.00
PG,What's she looking for?,,What's she lookin 'for?,0.00
PG,It's Josh.,,It's joshy.,1.00
PG,"Hey, Bella.",,"Hey, bella.",1.00
PG,"Thank you, Jessica.",,"Thankyou, Jessica.",0.00
PG,"Thank you, Kathy.",,"Thank you, kathy.",1.00
PG,Warsaw.,,Warsawa..,1.00
PG,Cannibal.,,"Cannibal, cannibal, please.",1.00
PG,BosIey.,,BosIey.,0.00
PG,"Dean, you all right?",,Dean you okay?,0.00
PG,Champagne for everybody.,,Champagne for y'all.,0.00
PG,Where's the bride?,,Where is the bride?,0.00
PG,I'm at the bridge.,,I'm at the bridge.,0.00
PG,The water's boiling.,,The water's boiling.,0.00
PG,I'm going to have a son.,,I'm going to have a Son.,1.00
PG,"Thank you, Natalie.",,"Thanks, Natalie.",0.00
PG,His son's dead.,,His son's lame.,1.00
PG,Do you hear music?,,Do you hear the tune?,0.00
PG,A hunting accident.,,A hunting accident- -,0.00
PG,It's Ivan Locke.,,It's Ivan Locke,0.00
PG,Where's the princess?,,Where's the princessa?,1.00
PG,"Thank you, Holly.",,"Thank you, hollyy.",1.00
PG,What beach?,,Whwhat beach?,0.00
PG,She doesn't have any friends.,,She doesn't have lovers.,1.00
PG,650,,"6-0, 6-0, 6-0, 6-0, 6-0.",1.00
PG,"Thank you, Leon.",,"Thank you,  Leon.",0.00
PG,It is my handwriting.,,It's my handwriting.,0.00
PG,He's got your eyes.,,He's got your eyes.,0.00
PG,11 minutes.,,1 1 1 minutes.,1.00
PG,Where's Tracy?,,Where's tracys?,1.00
PG,Where's Oliver?,,Where's Oliver?,0.00
PG,I'm a hunter.,,I'm a chaser.,0.00
PG,Where's Greg?,,Where's greg?,1.00
PG,"Thank you, Carlos.",,"Thanks, carlos.",1.00
PG,"Thank you, Alfred.",,"Thanks, Alfredo.",1.00
PG,Gandhi?,,Gandhi,1.00
PG,He believes in you.,,He believes in you.,0.00
PG,Bar's open.,,The bar's open-ended.,1.00
PG,I'm not your daughter.,,I'm not your granddaughter,1.00
PG,"Thank you, Ralph.",,"Thank you, ralph",1.00
PG,"Thank you, Seth.",,"Thanks, Seth.",0.00
PG,Where's Simon?,,Wh-Where's Simon?,1.00
PG,Where's Jason?,,Where's jasons?,1.00
PG,We're explorers.,,We're explorers..,0.00
PG,60 minutes.,,Sixty-minutes.,0.00
PG,TONY Vermont.,,Tony Vermont.,1.00
PG,"Thank you, Julian.",,"Thanks, Julian.",0.00
PG,He's praying.,,He's beggars.,1.00
PG,Baggins.,,Baggins!,0.00
PG,Where's Thomas?,,Where's thomas?,1.00
PG,EsteIIe.,,estellee.,1.00
PG,"Thank you, Morgan.",,"Thank you, morgan.",1.00
PG,Where's Taylor?,,Where's taylor?,1.00
PG,I don't have parents.,,I don't have a parent here.,0.00
PG,"Thank you, Casey.",,"Thanks, casey.",1.00
PG,My mom's dying.,,My mommy's dying.,0.00
PG,I just wanna play.,,I just want to play poker.,1.00
PG,"Thank you, Jake.",,"Thanks, jake.",1.00
PG,"Thank you, Jones.",,"Thanks, Jones.",0.00
PG,I'm blessed.,,I'm sanctified.,0.00
PG,Strangle?,,Strangled?,1.00
PG,I have to die.,,I have to be dying.,0.00
PG,Sun's going to come up soon.,,Sun's going to come up soon.,0.00
PG,1000 feet.,,"1,300 feet.",1.00
PG,Thank you for the wine.,,Thank you for the wine cooler.,1.00
PG,You're a part of me.,,You're part of me.,0.00
PG,It's a treasure map.,,It's a treasure map- -,0.00
PG,"Thank you, Data.",,"Thankyou, Data.",1.00
PG,"Thank you, Denise.",,"Thanks, Denise.",0.00
PG,That's a ship.,,That's a ship-loader.,1.00
PG,Did I snore?,,Did I snore-sno?,1.00
PG,"Thank you, Patrick.",,"Thanks, patrick.",1.00
PG,"Thank you, Jason.",,"Thank you, jason.",1.00
PG,It's just a machine.,,It's just a machine.,0.00
PG,I wanna be normal.,,I want to be normal everyday.,1.00
PG,My name's Anna.,,My name's annae.,1.00
PG,"Hello, Meredith.",,"- Hello, Meredith.",0.00
PG,48 hours?,,"Forty-eight hours, huh?",0.00
PG,We have to trust each other.,,We've got to trust each other.,0.00
PG,Where's Robert?,,Wh-where is Robert?,1.00
PG,Nitroglycerin.,,⁇ glycerin.,1.00
PG,We don't bite.,,- We don't bites.,0.00
PG,"Thank you, Julie.",,"Thank you, julie.",1.00
PG,"Thank you, Carol.",,"Thank you, carol.",1.00
PG,But I've got a plan.,,But I-I've got a plan.,1.00
PG,77,,Seventy-seven-seven.,1.00
PG,She's a mute.,,She's mute.,0.00
PG,"Welcome, friend.",,"- Welcome, Friend.",1.00
PG,No one wants me.,,No-one wants me here.,1.00
PG,"Mars-1, Houston.",,"Mars-1, Houston, this is Mars-1.",1.00
PG,"Thank you, Barney.",,"Thank you, Barney.",0.00
PG,How's Michael?,,How's michael?,1.00
PG,His mother's dead.,,His mommy's dead..,0.00
PG,Can he see us?,,"Hey, can he see us?",0.00
PG,He killed my mom.,,He's killed my mama.,0.00
PG,"Thank you, Rick.",,"Thanks, rick.",1.00
PG,"Good morning, Chuck.",,"Morning, chuck.",1.00
PG,You're a slave.,,You're a slave.,0.00
PG,Jor-EI.,,Jor-E-I.,1.00
PG,"Thank you, Wayne.",,"Thanks, wayne.",1.00
PG,"Yeah, he's alive.",,"Yea, he's alive.",0.00
PG,Where's Audrey?,,Where's audrey?,1.00
PG,Her name's Amy.,,Her name's Amy.,0.00
PG,I'm her attorney.,,I'm her counsel.,0.00
PG,He's got a daughter.,,He's got a granddaughter,1.00
PG,Where's Amy?,,Wh-where's Amy?,1.00
PG,We have to tell them.,,We've got to tell 'em.,0.00
PG,I don't wanna be your friend.,,I-I don't want to be your friend.,1.00
PG,Where's Ethan?,,Where's ethani?,1.00
PG,"Hey, Oz.",,"Hey, oz.",1.00
PG,They've got my daughter.,,They've got my daughters.,0.00
PG,But we have no money.,,But we ain't got nothin '.,0.00
PG,Prodigal son.,,Prodigal son of mine.,0.00
PG,50 meters.,,Fifty-footer.,1.00
